scenario,representation,path,n,sha256_float64,mean,p50,p90,min,max
baseline,frozen_pickle,waiting/T27/0,2500,a3e46a6b7c100c4ca5bd2e4f3ebd45c6f902c98a740a1a1d80b8ad025540246e,9.56350410483112,6.649874348852048,22.077453309668815,0.0029850993504666793,77.13585476886888
baseline,frozen_pickle,waiting/T22/0,2445,955d8c575d9e8fc463f5a5634abd4808022bcd5f07f93613f1e9f29887b94587,6.714448228935136,4.744298660709431,15.4763717878144,0.00016114370565943517,53.34038382197065
baseline,frozen_pickle,waiting/T10/0,2429,421e18f1ce80bdfb31d2dde1b533f57d1e15fa75456acd2a0a20d6697f7cac00,7.769634757358922,5.523373303513309,17.815088132441456,0.0002617203198075344,60.389535571502826
baseline,frozen_pickle,waiting/T06/0,2347,4a85fb5731d828332604c92e92621fc0be6dc0280f66069c5039cca57344bdea,10.989256018595825,5.735656710082316,29.26800435353432,6.652943104122603e-06,111.01071153736277
baseline,frozen_pickle,waiting/T18/1,2196,3323243130d90d47f2db28136c5cbabd9b73ee6172502972b58d41d61365624f,5.377802725096474,3.7362571991039157,12.147389772789916,0.001482755808771238,50.51209772146907
baseline,frozen_pickle,waiting/T18/2,1000,b09c437b5103eecabd6a9c8f8c9b1a79dcd56541fab7d91efa88e10d43239f3f,22.04049609017581,15.925355752739451,48.08046207512876,0.0,112.0
baseline,frozen_pickle,waiting/T09/0,2314,86feb3eb740d460f97e5cc5a2aa15f57393a449a4724fa15c7da0759bd7173ee,8.399351849013813,5.750500327881285,19.295435150079268,0.0015062200628214038,64.14706550733771
baseline,frozen_pickle,waiting/T07/0,2112,dff6581de17195191d97dcb9fbf2e7131ad01c9021ce5af0e5ff23934cce69e4,8.26903424528129,5.734595808403305,18.857646680228804,0.002212701029107136,70.71631396892822
baseline,frozen_pickle,waiting/T08/0,2057,353e80a975cfc212b2d21693d599eedceaf24e6aa5371a81ee4bc9994e321e21,10.365229472435455,7.32776635857512,24.0540020496193,0.010095833263921971,97.23577247528459
baseline,frozen_pickle,waiting/T26/0,1994,5bf17f5bbc2fe6386934090212a6cb0f643cc99a8536275e6fe184d022e14992,9.40525510961666,6.541705327932929,21.32499929122241,0.010180338171587446,70.58194822376926
baseline,frozen_pickle,waiting/T25/0,1440,dc17918254b0dd2aecf4eb14da3f365f3d9d13cf6ac3e9427b5282a2f81eee63,9.849284563428807,7.079349151039146,22.36386209749275,0.00359760789773519,62.073385520530465
baseline,frozen_pickle,waiting/T19/0,1758,4e66aa42a98416068e5c9cc62110eae55068815f421c8476b95170d52aff3565,9.046269390522356,6.497030748267061,20.686840571662565,0.0009474287762586218,61.864205720754924
baseline,frozen_pickle,waiting/Res.GateOut/0,71568,34ab9d34b8930967af78c39ad2f81da982b9f361c48a9eb3e3af4053e75a9009,11.53305765506163,8.727417776651052,22.769957446515505,0.28733115467109355,187.7706600393505
t22_closed,frozen_pickle,arrival/0,71530,df7a0a03e9013d041facc28e24013307e2daeb6d2e4f8afc6a61ce706f068bb8,0.6830420802460506,0.0,2.0,0.0,19.0
t22_closed,frozen_pickle,execution/HO2_delivery/0,5775,5ce164d8dea5a0be4fd8701918067a851538fc1a37f3d11c102599e0b9f6a9df,9.929054408922294,6.59344316527131,21.562893280651988,0.06607629343300883,91.0
t22_closed,frozen_pickle,execution/LL_receive/0,1932,d540bfbb3c11c2b7d6719c628f7fede50cb59e3bc82f77e4ce93a4ea711ed022,9.016884680690287,6.838931188909704,16.955970534875863,2.0,71.0
t22_closed,frozen_pickle,execution/Gate Out/0,71568,d42e7b176002506cf86556e3db8689c391593e8c644d050499def8dd96a54435,0.0,0.0,0.0,0.0,0.0
t22_closed,frozen_pickle,execution/LL_delivery/0,9612,1d70d23412ca7923eab02c0c7b0126df34bc66f245021e496e2715fde332205c,9.599123698637003,7.17357764940854,18.79353984291788,1.1318196060219825,62.0
t22_closed,frozen_pickle,execution/RMG_delivery/0,17823,94cf01456d8516d9eb5af1ddbeee4889d1dad5af427609169ea49d0b73615a53,8.797084409518549,6.499524447449202,17.404902907644196,0.4158255550685677,155.8089306436314
t22_closed,frozen_pickle,execution/HO2_mixed/0,1000,345451d924f70d66c73dc3ef1c6125de3b78d9c406b46fbdac80fe698ba2c4c9,22.76217936993536,20.861248509532565,39.48254094185116,2.766541621499684,81.06065881618755
t22_closed,frozen_pickle,execution/RMG_mixed/0,3986,4297b85bb9993b5c276a845ece009464867c5f63baa370d2252a14f8c8910860,18.807087732273796,15.75109091461983,34.37610942013009,1.6728200857984101,139.0
t22_closed,frozen_pickle,execution/HO2_receive/0,4188,c6e7c710adbb902c8a1b627a5989aa2fb2e049d4ae1e16c05858e62485fa024f,16.62616696797465,13.586323910562506,31.44820240504268,0.13642389647255304,117.0
t22_closed,frozen_pickle,execution/LL_mixed/0,1000,40a4cc1b8c6e8abc079472a0040af6d321733e525cd15b3b951fcc71c062c6e0,11.248429482274739,9.26743811253859,19.63970748748823,3.0,48.0
t22_closed,frozen_pickle,execution/RMG_receive/0,32794,4e2024d0d69863ac7022c67a59d2eec89fe9d45f3dccc13d216f556dcad9e278,11.307668345754045,8.722259666725336,21.924057496389068,0.3476141911803076,203.0
t22_closed,frozen_pickle,execution/Gate In/0,71568,d42e7b176002506cf86556e3db8689c391593e8c644d050499def8dd96a54435,0.0,0.0,0.0,0.0,0.0
t22_closed,frozen_pickle,waiting/LL/0,11597,dc853c3f67097796927b7a15d51c77392e13aa7fc24ae75dc1b1e7b12be66f0f,3.392806411955136,2.3579274895085462,7.684540680278667,3.6057277704522515e-05,30.461701245768648
t22_closed,frozen_pickle,waiting/Res.GateIn/0,71568,d42e7b176002506cf86556e3db8689c391593e8c644d050499def8dd96a54435,0.0,0.0,0.0,0.0,0.0
t22_closed,frozen_pickle,waiting/T13/0,3369,a6276d2ab6eb5ac3649456d0008316ed4293cc98c888bbc0d2e957afe85c8c47,9.594541422781136,6.7708907543211945,21.913609731693654,0.009041603725167923,78.4924601747883
t22_closed,frozen_pickle,waiting/HO2/0,10712,3b6fb9dc81d8342644dd6f61badc778cb1343a90e786284d1d05054d39d48b71,10.028839310713701,6.874773936262852,23.1797618097845,0.00016821929106328968,93.60369808735334
t22_closed,frozen_pickle,waiting/T14/0,3107,ffb8bd94265b38b0e4a962bcbbf0d03d3d171f7ade184cfc6313252b3919db79,6.570265806892842,4.570753539845732,15.080613526870215,0.0016357468798340092,50.07925496681516
t22_closed,frozen_pickle,waiting/T16/0,2899,cdab020a3ed6994b4cc768508ed5ffb8fe0a19dafaca70157ed782292c99c1d7,7.5073021138685805,5.245353870897815,17.404820796793175,0.001617420988643648,60.12872701797643
t22_closed,frozen_pickle,waiting/T24/0,2887,aebe2019d1c1dc45e6760397f1f048c5b9c2efc9e52d43003c4d723b0e49eec7,7.389737431782728,5.122058207575,17.031810338409034,0.0009447267131780918,53.82452275344506
t22_closed,frozen_pickle,waiting/T12/0,2697,5b26ee7ac5db32cd7c7b85b39c4190f2c4d035dd4b0aac095a6ed267db85752a,6.043910220499878,4.065078814830509,13.772145132526509,0.0029700606810691256,49.416440850775814
t22_closed,frozen_pickle,waiting/T17/0,2842,96fc26b10456ee47a86656faaaab6de83033a7c1cc9d7a36fc0c8c7d5b58947a,8.480181862373682,5.992001227296659,19.576129855832612,0.0038898113786215186,59.99337680000679
t22_closed,frozen_pickle,waiting/T15/0,2657,3d404f26d36fc5547773911251d701481842b4096a6c8ede19248bb274c0197f,7.918982309062038,5.405021118353354,18.53396524625236,0.0010499095990499246,66.51745806577766
t22_closed,frozen_pickle,waiting/T21/0,2678,70251884cfc10e5db0c1c394140e6293fbcb37a6262ac70909edcc7872f5ec47,6.333071715930915,4.416777619816154,14.587983617451645,0.0011686444214567932,58.028303902855946
t22_closed,frozen_pickle,waiting/T20/0,2613,3c13929b7661d54ae9570a3de9a58b622114a7f2b9138be564f383f6de8c32cc,6.267361193225158,4.237813669922768,14.907277560142198,0.003464256083874773,39.331208052931494
t22_closed,frozen_pickle,waiting/T11/0,2553,94ff42c259230ec71f67e77ca0ce245a784f4d094f00086a2b54ac49994c4e2e,10.59166055496636,7.315614871179905,24.994233868528205,0.00779628082173103,73.63535974481466
t22_closed,frozen_pickle,waiting/T23/0,2486,b7bc3c2d82cda902e4ef47f22a44792fcd201f04ea3821dbcd20913832792508,7.047237145484659,4.792717823122285,16.114899162055735,0.0005531602357923204,61.89802648650479
t22_closed,frozen_pickle,waiting/T27/0,2500,a3e46a6b7c100c4ca5bd2e4f3ebd45c6f902c98a740a1a1d80b8ad025540246e,9.56350410483112,6.649874348852048,22.077453309668815,0.0029850993504666793,77.13585476886888
t22_closed,frozen_pickle,waiting/T22/0,2445,955d8c575d9e8fc463f5a5634abd4808022bcd5f07f93613f1e9f29887b94587,6.714448228935136,4.744298660709431,15.4763717878144,0.00016114370565943517,53.34038382197065
t22_closed,frozen_pickle,waiting/T10/0,2429,421e18f1ce80bdfb31d2dde1b533f57d1e15fa75456acd2a0a20d6697f7cac00,7.769634757358922,5.523373303513309,17.815088132441456,0.0002617203198075344,60.389535571502826
t22_closed,frozen_pickle,waiting/T06/0,2347,4a85fb5731d828332604c92e92621fc0be6dc0280f66069c5039cca57344bdea,10.989256018595825,5.735656710082316,29.26800435353432,6.652943104122603e-06,111.01071153736277
t22_closed,frozen_pickle,waiting/T18/1,2196,3323243130d90d47f2db28136c5cbabd9b73ee6172502972b58d41d61365624f,5.377802725096474,3.7362571991039157,12.147389772789916,0.001482755808771238,50.51209772146907
